time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
01.21 08:00,A1,PH_1,A1 — H4+D1 fly aligned,1,0,511,80.13,1,1,,False,True,False
01.21 12:00,B2,PH_1,B2 — M30 shrink + 1 SQZ,2,1,511,46.18,1,0,,False,True,False
01.21 16:00,A1,PH_1,A1 — H4+D1 fly aligned,2,0,512,40.5,1,3,,False,True,False
01.21 20:00,B3,PH_3B_INTO,B3 — H1 shrink,3,0,512,-10.29,1,3,,False,True,False
01.22 04:00,E4,PH_3B_INTO,E4 — HTF compressing,1,0,512,-56.19,1,0,,False,True,False
01.22 08:00,B2,PH_3B_INTO,B2 early — M30 shrink,2,0,512,-13.77,1,0,,False,True,False
01.22 12:00,B3,PH_3B_INTO,B3 — H1 shrink,3,0,512,-15.67,1,3,,False,True,False
01.22 16:00,B3,PH_3B_INTO,B3 — H1-SQZ onset,2,1,512,-19.93,1,3,,False,True,False
01.22 20:00,A1,PH_2,A1 — H4+D1 fly aligned,-1,0,512,8.08,1,3,,False,True,False
01.23 04:00,A1,PH_2,A1 — H4+D1 fly aligned,-1,0,512,8.89,1,3,,False,True,False
01.23 08:00,A1,PH_3B_INTO,A1 — H4+D1 fly aligned,-1,0,512,-12.12,1,3,,False,True,False
01.23 12:00,E4,PH_3B_INTO,E4 — HTF compressing,3,0,512,-37.48,1,3,,False,True,False
01.23 16:00,B3,PH_3B_INTO,B3 — H1 shrink + 1 SQZ,3,1,512,-19.13,1,3,,False,True,False
01.23 20:00,A2,PH_3B_INTO,default — conservative,-1,0,512,-15.77,1,3,,False,True,False
01.26 04:00,A1,PH_2,A1 — H4+D1 fly aligned,-1,0,512,45.46,1,3,,False,True,False
01.26 08:00,A1,PH_2,A1 — H4+D1 fly aligned,1,0,512,48.42,1,3,,False,True,False
01.26 12:00,A1,PH_1,A1 — H4+D1 fly aligned,2,0,511,54.52,1,1,,False,True,False
01.26 16:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,34.14,1,0,,False,True,False
01.26 20:00,A1,PH_1,A1 — H4+D1 fly aligned,3,0,512,43.36,1,3,,False,True,False
01.27 04:00,E4,PH_3B_INTO,E4 — HTF compressing,2,0,512,-26.18,1,3,,False,True,False
01.27 08:00,E4,PH_3B_INTO,E4 — HTF compressing,3,1,512,-33.45,1,3,,False,True,False
01.27 12:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,512,-49.84,1,3,,False,True,False
01.27 16:00,E4,PH_3B_INTO,E4 — HTF compressing,3,2,512,-56.07,1,0,,False,True,False
01.27 18:00,E4,PH_3B_INTO,E4 — HTF compressing,3,0,512,-56.07,1,0,CLOSE BUY P&L:351.03,False,True,False
01.27 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-80.24,1,2,,False,False,True
01.28 04:00,B1,PH_2,B1 — M15 shrink,1,0,512,28.17,1,3,,False,True,False
01.28 08:00,A1,PH_2,A1 — H4+D1 fly aligned,-1,0,512,64.72,1,0,,False,True,False
01.28 12:00,A1,PH_1,A1 — H4+D1 fly aligned,1,0,512,51.13,1,0,,False,True,False
01.28 16:00,B2,PH_1,B2 early — M30 shrink,2,0,512,8.18,1,3,,False,True,False
01.28 20:00,B3,PH_1,B3 — H1 shrink,3,0,512,4.41,1,3,,False,True,False
01.29 04:00,F3,PH_1,F3 — HTF confirmed expansion,-1,0,511,150.73,1,1,,False,True,False
01.29 08:00,A2,PH_1,A2 — SQZ without LTF shrink,-1,1,511,139.32,1,1,,False,True,False
01.29 12:00,A1,PH_1,"A1 — mid-TF SQZ, M15+M5 flying, D1 aligned",-1,1,511,76.76,1,0,,False,True,False
01.29 16:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,512,54.98,1,3,,False,True,False
01.29 20:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,512,-24.1,1,3,,False,True,False
01.30 04:00,E4,PH_3B_INTO,E4 — HTF compressing,1,1,512,-59.79,1,0,,False,True,False
01.30 08:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-55.86,1,2,,False,False,True
01.30 09:45,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-55.86,1,2,OPEN SELL,False,False,True
01.30 12:00,G2,PH_4,G2 — H2 opposite D1,-1,0,403,30.87,3,0,,True,False,False
